epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,608.412,1.27826,1.64757,1.52997,0.81082,0.71965,0.8193,0.48167,1.38363,1.59353,1.96682,0.000664544,0.000664544,0.000664544
2,1238.2,1.39251,1.36467,1.59874,0.68655,0.74172,0.74719,0.33215,1.73229,1.5052,2.26233,0.00130485,0.00130485,0.00130485
3,1860.06,1.39809,1.29072,1.60447,0.73855,0.75453,0.80404,0.41873,1.51196,1.26102,2.11104,0.00191876,0.00191876,0.00191876
4,2469.12,1.37668,1.21261,1.57958,0.70773,0.7064,0.76587,0.39397,1.45213,1.32486,1.93689,0.0018812,0.0018812,0.0018812
5,3088.15,1.31598,1.12729,1.5468,0.87226,0.78366,0.89351,0.51492,1.42097,1.02092,1.89487,0.0018416,0.0018416,0.0018416
6,3701.43,1.26833,1.06226,1.50819,0.85787,0.83943,0.91962,0.57919,1.23604,0.89523,1.7468,0.001802,0.001802,0.001802
7,4299.76,1.24681,0.99982,1.48239,0.8697,0.86931,0.93131,0.56861,1.28783,0.82827,1.78717,0.0017624,0.0017624,0.0017624
8,4916.18,1.21569,0.95108,1.46866,0.88868,0.83664,0.92577,0.56813,1.39806,0.7977,1.87879,0.0017228,0.0017228,0.0017228
9,5529.71,1.19239,0.91696,1.44189,0.88193,0.89039,0.95486,0.63522,1.13756,0.72677,1.64635,0.0016832,0.0016832,0.0016832
10,6155.54,1.17985,0.88778,1.43818,0.95815,0.90968,0.97439,0.68481,1.08262,0.63904,1.56385,0.0016436,0.0016436,0.0016436
11,6777.99,1.16087,0.86956,1.42733,0.89077,0.92274,0.9621,0.65267,1.13579,0.69918,1.61418,0.001604,0.001604,0.001604
12,7405.33,1.15216,0.84914,1.41124,0.94067,0.90996,0.97499,0.68963,1.01908,0.62398,1.51919,0.0015644,0.0015644,0.0015644
13,7964.94,1.14183,0.83747,1.40698,0.90836,0.92274,0.96668,0.70416,1.02253,0.61167,1.51431,0.0015248,0.0015248,0.0015248
14,8520.36,1.11713,0.80392,1.39141,0.93146,0.93006,0.97785,0.69822,1.04672,0.60831,1.49488,0.0014852,0.0014852,0.0014852
15,9078.23,1.11073,0.79992,1.38591,0.94647,0.93674,0.9836,0.696,1.03224,0.59548,1.51275,0.0014456,0.0014456,0.0014456
16,9635.06,1.09247,0.77789,1.37643,0.93497,0.95216,0.98187,0.71563,1.00159,0.54621,1.4797,0.001406,0.001406,0.001406
17,10191.1,1.09144,0.77282,1.36659,0.95012,0.92512,0.98033,0.70567,1.01324,0.59549,1.48949,0.0013664,0.0013664,0.0013664
18,10748,1.07292,0.75653,1.35625,0.94541,0.93157,0.98261,0.70947,1.02117,0.55825,1.48511,0.0013268,0.0013268,0.0013268
19,11303.1,1.07984,0.74272,1.3557,0.93914,0.98013,0.98819,0.70761,1.03243,0.55128,1.50023,0.0012872,0.0012872,0.0012872
20,11857.4,1.06387,0.73073,1.34823,0.95206,0.96447,0.98868,0.727,0.96032,0.53346,1.42675,0.0012476,0.0012476,0.0012476
21,12413.9,1.04997,0.71997,1.34264,0.96275,0.96998,0.98963,0.71646,0.99555,0.50501,1.47155,0.001208,0.001208,0.001208
22,12970,1.04059,0.71169,1.33308,0.94523,0.95252,0.98399,0.72998,0.95025,0.51106,1.41834,0.0011684,0.0011684,0.0011684
23,13523.3,1.03577,0.70354,1.32816,0.96364,0.95806,0.99033,0.75239,0.90517,0.47611,1.38286,0.0011288,0.0011288,0.0011288
24,14079.7,1.01563,0.68499,1.31751,0.95996,0.97792,0.9915,0.74818,0.91115,0.45868,1.38085,0.0010892,0.0010892,0.0010892
25,14628.8,1.02806,0.69616,1.32941,0.97341,0.96964,0.98888,0.70999,0.99458,0.4866,1.46286,0.0010496,0.0010496,0.0010496
26,15177.9,1.01502,0.6804,1.31194,0.96273,0.9695,0.98857,0.74027,0.94337,0.47679,1.42234,0.00101,0.00101,0.00101
27,15728.4,0.99211,0.65323,1.29831,0.96253,0.96414,0.9874,0.73675,0.93087,0.49251,1.40015,0.0009704,0.0009704,0.0009704
28,16277.7,0.98472,0.64589,1.29952,0.94969,0.97792,0.99007,0.7335,0.97726,0.46974,1.43183,0.0009308,0.0009308,0.0009308
29,16828,0.98826,0.63064,1.29741,0.97316,0.97572,0.99061,0.75714,0.87835,0.42898,1.35081,0.0008912,0.0008912,0.0008912
30,17380.1,0.97224,0.63388,1.28708,0.98652,0.96904,0.99252,0.74292,0.94582,0.43956,1.42455,0.0008516,0.0008516,0.0008516
31,17930.2,0.97395,0.62242,1.29126,0.96022,0.98675,0.99112,0.75227,0.8924,0.43559,1.36398,0.000812,0.000812,0.000812
32,18482.6,0.96155,0.61406,1.27941,0.99341,0.98234,0.99386,0.75945,0.88564,0.41258,1.35184,0.0007724,0.0007724,0.0007724
33,19034.6,0.95323,0.60829,1.28036,0.96196,0.98896,0.99101,0.77112,0.85751,0.41081,1.33206,0.0007328,0.0007328,0.0007328
34,19586.1,0.95515,0.60295,1.27271,0.96473,0.98896,0.99193,0.76415,0.86865,0.41434,1.33196,0.0006932,0.0006932,0.0006932
35,20135.4,0.9423,0.59934,1.26494,0.98375,0.98675,0.99221,0.77835,0.85489,0.40239,1.32582,0.0006536,0.0006536,0.0006536
36,20684.3,0.94594,0.59993,1.26767,0.98671,0.98315,0.9933,0.78508,0.83125,0.3844,1.29093,0.000614,0.000614,0.000614
37,21233.5,0.92278,0.57758,1.25759,0.96986,0.98896,0.99236,0.77672,0.84144,0.38374,1.31056,0.0005744,0.0005744,0.0005744
38,21781.7,0.91206,0.56948,1.24935,0.99024,0.99117,0.99417,0.79127,0.81008,0.37242,1.28494,0.0005348,0.0005348,0.0005348
39,22333.3,0.91502,0.5714,1.24492,0.96161,0.98896,0.99132,0.78139,0.8266,0.38794,1.29478,0.0004952,0.0004952,0.0004952
40,22884.7,0.91513,0.56563,1.24709,0.98521,0.99117,0.99307,0.78678,0.82132,0.3783,1.28698,0.0004556,0.0004556,0.0004556
41,23430.4,0.86197,0.43054,1.27825,0.97402,0.99338,0.99167,0.77687,0.82351,0.37637,1.30075,0.000416,0.000416,0.000416
42,23975,0.8535,0.41784,1.27042,0.9889,0.98333,0.9932,0.79579,0.80482,0.37175,1.28331,0.0003764,0.0003764,0.0003764
43,24518.5,0.83191,0.40368,1.25712,0.98246,0.98938,0.99333,0.80142,0.79002,0.3522,1.26464,0.0003368,0.0003368,0.0003368
44,25058.3,0.82285,0.39853,1.24829,0.97907,0.99338,0.99321,0.80106,0.77723,0.35075,1.2539,0.0002972,0.0002972,0.0002972
45,25598.2,0.80884,0.38934,1.23946,0.98905,0.99681,0.99381,0.80991,0.76657,0.33665,1.2379,0.0002576,0.0002576,0.0002576
46,26165.9,0.80367,0.38303,1.23507,0.99338,0.99418,0.99379,0.80649,0.77581,0.33668,1.25324,0.000218,0.000218,0.000218
47,26727.4,0.78883,0.37441,1.22189,0.99323,0.99779,0.99363,0.80862,0.76019,0.3328,1.23988,0.0001784,0.0001784,0.0001784
48,27298.9,0.77948,0.37068,1.21746,0.98903,0.99477,0.99396,0.81125,0.75833,0.33102,1.23261,0.0001388,0.0001388,0.0001388
49,27960.7,0.77273,0.36676,1.20806,0.99093,0.99117,0.99369,0.80947,0.76624,0.33103,1.2402,9.92e-05,9.92e-05,9.92e-05
50,28734.9,0.75958,0.36003,1.2063,0.98749,0.99338,0.99374,0.81553,0.75175,0.32504,1.22857,5.96e-05,5.96e-05,5.96e-05
